School,Location
Abilene Christian,"Abilene, TX"
Air Force,"Colorado Springs, CO"
Akron,"Akron, OH"
Alabama,"Tuscaloosa, AL"
Alabama A&M,"Huntsville, AL"
Alabama State,"Montgomery, AL"
Albany,"Albany, NY"
Alcorn State,"Lorman, MS"
American University,"Washington, DC"
Appalachian State,"Boone, NC"
Arizona,"Tucson, AZ"
Arizona State,"Tempe, AZ"
Arkansas,"Fayetteville, AR"
Arkansas State,"Jonesboro, AR"
Arkansas-Pine Bluff,"Pine Bluff, AR"
Army West Point,"West Point, NY"
Auburn,"Auburn, AL"
Austin Peay,"Clarksville, TN"
Ball State,"Muncie, IN"
Baylor,"Waco, TX"
Bellarmine,"Louisville, KY"
Belmont,"Nashville, TN"
Bethune-Cookman,"Daytona Beach, FL"
Binghamton,"Binghamton, NY"
Boise State,"Boise, ID"
Boston College,"Chestnut Hill, MA"
Boston University,"Boston, MA"
Bowling Green,"Bowling Green, OH"
Bradley,"Peoria, IL"
Brigham Young,"Provo, UT"
Brown,"Providence, RI"
Bryant,"Smithfield, RI"
Bucknell,"Lewisburg, PA"
Buffalo,"Buffalo, NY"
Butler,"Indianapolis, IN"
Cal Poly,"San Luis Obispo, CA"
Cal State Bakersfield,"Bakersfield, CA"
Cal State Fullerton,"Fullerton, CA"
Cal State Northridge,"Northridge, CA"
California,"Berkeley, CA"
California Baptist,"Riverside, CA"
Campbell,"Buies Creek, NC"
Canisius,"Buffalo, NY"
Central Arkansas,"Conway, AR"
Central Connecticut State,"New Britain, CT"
Central Michigan,"Mount Pleasant, MI"
Charleston,"Charleston, SC"
Charleston Southern,"Charleston, SC"
Charlotte,"Charlotte, NC"
Chattanooga,"Chattanooga, TN"
Chicago State,"Chicago, IL"
Cincinnati,"Cincinnati, OH"
Clemson,"Clemson, SC"
Cleveland State,"Cleveland, OH"
Coastal Carolina,"Conway, SC"
Colgate,"Hamilton, NY"
Colorado,"Boulder, CO"
Colorado State,"Fort Collins, CO"
Columbia,"New York, NY"
Coppin State,"Baltimore, MD"
Cornell,"Ithaca, NY"
Creighton,"Omaha, NE"
Dartmouth,"Hanover, NH"
Davidson,"Davidson, NC"
Dayton,"Dayton, OH"
Delaware,"Newark, DE"
Delaware State,"Dover, DE"
Denver,"Denver, CO"
DePaul,"Chicago, IL"
Detroit-Mercy,"Detroit, MI"
Drake,"Des Moines, IA"
Drexel,"Philadelphia, PA"
Duke,"Durham, NC"
Duquesne,"Pittsburgh, PA"
East Carolina,"Greenville, NC"
East Tennessee State,"Johnson City, TN"
East Texas A&M,"Commerce, TX"
Eastern Illinois,"Charleston, IL"
Eastern Kentucky,"Richmond, KY"
Eastern Michigan,"Ypsilanti, MI"
Eastern Washington,"Cheney, WA"
Elon,"Elon, NC"
Evansville,"Evansville, IN"
Fairfield,"Fairfield, CT"
Fairleigh Dickinson,"Hackensack, NJ"
Florida,"Gainesville, FL"
Florida A&M,"Tallahassee, FL"
Florida Atlantic,"Boca Raton, FL"
Florida Gulf Coast,"Fort Myers, FL"
Florida International,"Miami, FL"
Florida State,"Tallahassee, FL"
Fordham,"Bronx, NY"
Fort Wayne,"Fort Wayne, IN"
Fresno State,"Fresno, CA"
Furman,"Greenville, SC"
Gardner-Webb,"Boiling Springs, NC"
George Mason,"Fairfax, VA"
George Washington,"Washington, DC"
Georgetown,"Washington, DC"
Georgia,"Athens, GA"
Georgia Southern,"Statesboro, GA"
Georgia State,"Atlanta, GA"
Georgia Tech,"Atlanta, GA"
Gonzaga,"Spokane, WA"
Grambling State,"Grambling, LA"
Grand Canyon,"Phoenix, AZ"
Green Bay,"Ashwaubenon, WI"
Hampton,"Hampton, VA"
